arch,timesteps,on_time_pct,ci
candidate,4000,90.03,7.17
candidate,8000,87.4,9.37
candidate,12000,90.82,4.52
candidate,16000,88.09,7.0
candidate,20000,87.53,9.15
candidate,24000,91.21,7.25
candidate,28000,91.93,8.88
candidate,32000,92.14,6.56
candidate,36000,95.47,3.98
candidate,40000,95.36,3.71
mlp,4000,83.13,2.75
mlp,8000,84.64,4.16
mlp,12000,82.96,1.0
mlp,16000,82.99,1.03
mlp,20000,81.88,1.77
mlp,24000,83.27,3.99
mlp,28000,84.9,0.78
mlp,32000,82.48,2.72
mlp,36000,79.91,2.87
mlp,40000,81.7,2.55
